id,language,cutscene_id,sequence,speaker,text
Epilogue_000,ko,s0,1,RED_NARRATION,할머니를 뒤덮고 있던 검은 형체가 비명을 지르며 떨어져 나왔다.
Epilogue_001,ko,s0,2,RED_NARRATION,저주는 더 이상 할머니의 모습을 \n붙잡고 있을 수 없었다.
Epilogue_002,ko,s0,3,RED_NARRATION,그리고 마침내* 할머니와 늑대는 \n완전히 분리되었다.
Epilogue_003,ko,s1,1,RED_NARRATION,할머니는 쓰러진 늑대를 바라보며 \n마지막 힘을 모았다.
Epilogue_004,ko,s1,2,RED_NARRATION,검은 저주는 할머니의 손끝에서 \n피어난 빛에 붙잡혔다.
Epilogue_005,ko,s1,3,RED_NARRATION,늑대는 다시 깊은 봉인 속으로 사라졌다.
Epilogue_006,ko,s2,1,RED,“할머니!”
Epilogue_007,ko,s2,2,RED_NARRATION,나는 완드도* 바구니도 내버려 둔 채 \n할머니에게 달려갔다.
Epilogue_008,ko,s2,3,RED_NARRATION,할머니의 품은 기억하고 있던 것보다 차가웠지만* \n분명 살아 있었다.
Epilogue_009,ko,s2,4,GRANDMOTHER,“미안하구나* 레드.”
Epilogue_010,ko,s2,5,RED,“아니야… 다시 만났으니까 됐어.”
Epilogue_011,ko,s3,1,RED_NARRATION,늑대가 봉인되자 숲을 뒤덮고 있던 \n저주도 천천히 사라졌다.
Epilogue_012,ko,s3,2,RED_NARRATION,억지로 웃고 있던 나무와 꽃들은 마침내 \n편안한 표정으로 돌아왔다.
Epilogue_013,ko,s3,3,RED_NARRATION,오랫동안 뒤틀려 있던 숲이 \n다시 숨을 쉬기 시작했다.
Epilogue_014,ko,s4,1,RED_NARRATION,며칠 뒤* 나는 할머니를 위해 다시 파이를 구웠다.
Epilogue_015,ko,s4,2,RED_NARRATION,이번에는 숲속 친구들도 모두 함께였다.
Epilogue_016,ko,s4,3,RED_NARRATION,그리고 우리가 나눈 이야기는 \n더 이상 거짓말이 아니었다.
