id,language,cutscene_id,sequence,speaker,text
PROLOGUE_000,ko,s0,1,RED_NARRATION,그날 저녁* 할머니의 길잡이 새가 편지를\n물고 찾아왔다.
PROLOGUE_001,ko,s0,2,RED_NARRATION,편지에 적힌 글씨는 분명 할머니의 것이었다.
PROLOGUE_002,ko,s0,3,RED_NARRATION,그런데 이상하게도…\n마지막 문장만은 번져서 읽을 수 없었다.
PROLOGUE_003,ko,s1,1,RED_NARRATION,할머니는 숲 너머의 집으로 와 달라고 했다.
PROLOGUE_004,ko,s1,2,RED_NARRATION,몸이 좋지 않으니* 따뜻한 파이도\n함께 가져와 달라고.
PROLOGUE_005,ko,s1,3,RED_NARRATION,나는 그 부탁을 의심할 이유가 없었다.
PROLOGUE_006,ko,s2,1,RED_NARRATION,나는 할머니가 좋아하시던\n붉은 열매를 넣어 파이를 구웠다.
PROLOGUE_007,ko,s2,2,RED_NARRATION,부엌에 달콤한 냄새가 퍼지자*\n불안했던 마음도 조금은 가라앉았다.
PROLOGUE_008,ko,s2,3,RED_NARRATION,할머니가 이 파이를 드시면 금방\n나아지실 거라고 믿었다.
PROLOGUE_009,ko,s3,1,RED_NARRATION,파이를 바구니에 담고*\n완드와 붉은 망토를 챙겼다.
PROLOGUE_010,ko,s3,2,RED_NARRATION,이 망토를 입고 있으면 숲이 나를 해치지\n못한다고* 할머니는 늘 말씀하셨다.
PROLOGUE_011,ko,s3,3,RED_NARRATION,적어도 그때의 나는… 그 말을 믿고 있었다.
PROLOGUE_012,ko,s4,1,RED_NARRATION,나는 길잡이 새를 따라 숲속으로 들어갔다.
PROLOGUE_013,ko,s4,2,RED_NARRATION,나무와 꽃* 숲의 동물들은 모두\n나를 반기는 듯 웃고 있었다.
PROLOGUE_014,ko,s4,3,RED_NARRATION,하지만 그 미소가 이상하다는 걸 깨달았을 때는…\n이미 너무 깊이 들어온 뒤였다.
